seed,decisions,mean_decision_interval_h,selected_interventions,selected_intervention_rate,feasible_intervention_decisions,changed_decisions,effective_intervention_rate,changed_native_steps,local_avoided_vent_t,local_incremental_stored_t,local_total_cost_saving_eur,episode_reward,captured_t,stored_t,vented_t,storage_rate,episode_operating_cost_eur,terminal_cleanup_operating_cost_eur,operating_cost_eur,episode_total_cost_eur,total_cost_eur,unit_total_cost_eur_per_t,hard_violations,wall_clock_seconds
9000031,131,5.4961832061068705,14,0.10687022900763359,14,14,0.10687022900763359,42,7174.406624045002,8995.540237162262,345922.3258855512,0.3459223258855515,134043.80710806392,109074.09490042455,10987.98672024159,0.8137197626182819,1629485.720397826,233670.73941255242,1863156.4598103785,2508524.6580171525,2742195.3974297047,25.14066607596513,0,3.0073355701752007
9000032,95,7.578947368421052,6,0.06315789473684211,6,6,0.06315789473684211,13,2332.7110342293136,7853.115087459213,71378.91890681663,0.07137891890681664,118765.80374023803,95553.41048716256,6215.890273159236,0.8045532255745509,1399610.2407777929,278661.70203535905,1678271.942813152,1896881.4626305315,2175543.1646658904,22.767823289344246,0,1.1189272617921233
9000033,111,6.486486486486487,13,0.11711711711711711,13,13,0.11711711711711711,38,9272.492207014182,9326.573715147228,488486.18004179234,0.4884861800417923,127077.96740974124,98316.70719193386,6090.4608997656,0.7736723304278893,1520246.6700497007,312973.6231500403,1833220.2931997408,2007483.5420309487,2320457.165180989,23.60186006485137,0,2.0774068902246654
9000034,117,6.153846153846154,9,0.07692307692307693,9,9,0.07692307692307693,20,3292.2121244946147,9981.768027562212,125238.69462891147,0.1252386946289114,123422.09958543938,100576.40147537962,3996.1339817855537,0.8148978328290004,1515034.5227181125,244266.11099143614,1759300.6337095485,1834725.2412609567,2078991.3522523928,20.670766917041817,0,2.185935114044696
9000035,95,7.578947368421052,7,0.07368421052631578,7,7,0.07368421052631578,18,2342.9201028304915,4825.799822874207,84150.06050689536,0.08415006050689537,116933.45658342756,107416.50947780263,0.0,0.9186122827145288,1493239.626709555,257728.9659027268,1750968.592612282,1493239.626709555,1750968.592612282,16.300739999135008,0,2.4477494386956096
9000036,98,7.346938775510204,7,0.07142857142857142,7,7,0.07142857142857142,31,2609.6441651541663,9211.555314960598,134412.06296559892,0.13441206296559882,124518.99931170137,95699.90362434387,13272.360813399955,0.7685566391742654,1452902.6716328198,207333.84555325127,1660236.517186071,2514691.536704816,2722025.3822580674,28.443345073188205,0,2.5484601547941566
9000037,96,7.5,8,0.08333333333333333,8,8,0.08333333333333333,22,8150.148163651365,1026.003565134175,446612.08716116525,0.4466120871611652,121647.55872136065,101198.74441391896,3375.365103338174,0.8319011534437725,1525069.077587184,287266.1390459635,1812335.2166331476,1795098.285854238,2082364.4249002016,20.576978864312782,0,1.018754926044494
9000038,123,5.853658536585366,14,0.11382113821138211,14,14,0.11382113821138211,48,11221.764615851074,12853.299467966295,665213.9177507285,0.6652139177507284,128369.72617542402,107795.00148447152,5343.19251209684,0.8397229214087748,1613730.4392355962,236899.26044816093,1850629.699683757,2041185.8402033434,2278085.1006515045,21.133494775077075,0,2.4987410297617316
9000039,100,7.2,5,0.05,5,5,0.05,6,0.0,700.8878377984074,-102124.44000000099,-0.10212444000000098,125712.08383662622,95871.93582325192,12506.816448080672,0.7626310287549273,1435202.124699545,310130.4845200029,1745332.609219548,2435747.4405459985,2745877.9250660012,28.64110233601897,0,2.454072036780417
9000040,103,6.990291262135922,5,0.04854368932038835,5,5,0.04854368932038835,14,2676.469979528494,6819.546292684783,134222.39193727518,0.1342223919372752,128417.59580770151,101424.37761538857,10961.886185143845,0.7898012494118497,1373336.4227380739,270209.16677030135,1643545.5895083752,2250287.317549581,2520496.4843198825,24.85099286364722,0,2.239837651140988
