algorithm,algorithm_display_name,method_class,test_seed,model_instance_count,mean_total_cost_eur,fixed_assignment_total_cost_eur,delta_total_cost_vs_fixed_assignment_eur
greedy,Greedy,heuristic,9000031,1,2293017.35099732,3088117.723315256,-795100.3723179363
greedy,Greedy,heuristic,9000032,1,1766211.2553052178,2246922.083572707,-480710.8282674893
greedy,Greedy,heuristic,9000033,1,2107598.694435474,2808943.3452227814,-701344.6507873074
greedy,Greedy,heuristic,9000034,1,1935952.9860899067,2204230.046881304,-268277.06079139747
greedy,Greedy,heuristic,9000035,1,1885009.4324528396,1835118.653119177,49890.779333662475
greedy,Greedy,heuristic,9000036,1,3533761.529562704,2856437.4452236663,677324.0843390375
greedy,Greedy,heuristic,9000037,1,2000485.9131946776,2528976.512061367,-528490.5988666893
greedy,Greedy,heuristic,9000038,1,1920295.9707264367,2943299.018402233,-1023003.0476757961
greedy,Greedy,heuristic,9000039,1,2437563.728051424,2643753.485066,-206189.75701457588
greedy,Greedy,heuristic,9000040,1,2617199.479188901,2654718.876257158,-37519.39706825698
greedy,Greedy,heuristic,9000041,1,2085510.1991784673,2951265.1991328495,-865754.9999543822
greedy,Greedy,heuristic,9000042,1,2713194.122553258,2060234.8639605404,652959.2585927178
greedy,Greedy,heuristic,9000043,1,2311477.9959102147,2612647.8813048154,-301169.8853946007
greedy,Greedy,heuristic,9000044,1,1749991.6922290896,2845721.5142642595,-1095729.82203517
greedy,Greedy,heuristic,9000045,1,2356429.90438643,2371019.10575172,-14589.201365289744
greedy,Greedy,heuristic,9000046,1,1951286.679850844,2639068.1340305978,-687781.4541797538
greedy,Greedy,heuristic,9000047,1,1831302.291207332,2563481.4476033296,-732179.1563959976
greedy,Greedy,heuristic,9000048,1,2588329.1383681437,3102200.0320528345,-513870.8936846908
greedy,Greedy,heuristic,9000049,1,1840479.7749794757,2054674.3352626045,-214194.56028312887
greedy,Greedy,heuristic,9000050,1,2332346.0574296084,2925726.437843871,-593380.3804142624
greedy,Greedy,heuristic,9000051,1,1932977.2340705122,2771903.761121032,-838926.5270505196
greedy,Greedy,heuristic,9000052,1,2247524.9646282806,2555690.1288931454,-308165.16426486475
greedy,Greedy,heuristic,9000053,1,1896455.7981864524,2004306.9844839287,-107851.18629747629
greedy,Greedy,heuristic,9000054,1,3352607.0985221015,3099605.200420402,253001.89810169954
greedy,Greedy,heuristic,9000055,1,2379682.1687872596,3042067.940885448,-662385.7720981883
greedy,Greedy,heuristic,9000056,1,2271381.0938170906,2918646.810220665,-647265.7164035742
greedy,Greedy,heuristic,9000057,1,2380858.3660164326,2128115.441468709,252742.9245477235
greedy,Greedy,heuristic,9000058,1,2172908.6218546,2052759.8787102632,120148.74314433686
greedy,Greedy,heuristic,9000059,1,2212831.2094909954,2368517.4439496975,-155686.23445870215
greedy,Greedy,heuristic,9000060,1,2521676.157625502,2730085.5891911555,-208409.43156565353
ppo_hourly,Hourly PPO,reinforcement_learning,9000031,3,6522826.678284651,3088117.723315256,3434708.9549693945
ppo_hourly,Hourly PPO,reinforcement_learning,9000032,3,4903222.590455862,2246922.083572707,2656300.506883154
ppo_hourly,Hourly PPO,reinforcement_learning,9000033,3,5399820.247874448,2808943.3452227814,2590876.902651666
ppo_hourly,Hourly PPO,reinforcement_learning,9000034,3,5001466.552326211,2204230.046881304,2797236.5054449067
ppo_hourly,Hourly PPO,reinforcement_learning,9000035,3,5341776.05869848,1835118.653119177,3506657.405579303
ppo_hourly,Hourly PPO,reinforcement_learning,9000036,3,5381270.962874853,2856437.4452236663,2524833.517651187
ppo_hourly,Hourly PPO,reinforcement_learning,9000037,3,5757402.935634613,2528976.512061367,3228426.4235732458
ppo_hourly,Hourly PPO,reinforcement_learning,9000038,3,5979672.346104369,2943299.018402233,3036373.3277021362
ppo_hourly,Hourly PPO,reinforcement_learning,9000039,3,5921071.916628754,2643753.485066,3277318.431562754
ppo_hourly,Hourly PPO,reinforcement_learning,9000040,3,5787915.75337254,2654718.876257158,3133196.877115382
ppo_hourly,Hourly PPO,reinforcement_learning,9000041,3,5637791.630408814,2951265.1991328495,2686526.431275965
ppo_hourly,Hourly PPO,reinforcement_learning,9000042,3,5379960.979493624,2060234.8639605404,3319726.1155330837
ppo_hourly,Hourly PPO,reinforcement_learning,9000043,3,5483034.114931626,2612647.8813048154,2870386.2336268104
ppo_hourly,Hourly PPO,reinforcement_learning,9000044,3,6332740.01751947,2845721.5142642595,3487018.503255211
ppo_hourly,Hourly PPO,reinforcement_learning,9000045,3,5095686.601624805,2371019.10575172,2724667.4958730848
ppo_hourly,Hourly PPO,reinforcement_learning,9000046,3,5785148.646447666,2639068.1340305978,3146080.5124170687
ppo_hourly,Hourly PPO,reinforcement_learning,9000047,3,6097382.729947597,2563481.4476033296,3533901.282344267
ppo_hourly,Hourly PPO,reinforcement_learning,9000048,3,6152037.2181581445,3102200.0320528345,3049837.1861053105
ppo_hourly,Hourly PPO,reinforcement_learning,9000049,3,5278312.228282245,2054674.3352626045,3223637.8930196404
ppo_hourly,Hourly PPO,reinforcement_learning,9000050,3,5755470.0346189365,2925726.437843871,2829743.5967750656
ppo_hourly,Hourly PPO,reinforcement_learning,9000051,3,5415104.438718671,2771903.761121032,2643200.6775976387
ppo_hourly,Hourly PPO,reinforcement_learning,9000052,3,6309176.448710022,2555690.1288931454,3753486.319816876
ppo_hourly,Hourly PPO,reinforcement_learning,9000053,3,5127890.171627865,2004306.9844839287,3123583.1871439368
ppo_hourly,Hourly PPO,reinforcement_learning,9000054,3,6955612.466171527,3099605.200420402,3856007.2657511258
ppo_hourly,Hourly PPO,reinforcement_learning,9000055,3,5811884.64126317,3042067.940885448,2769816.7003777223
ppo_hourly,Hourly PPO,reinforcement_learning,9000056,3,5702336.722017687,2918646.810220665,2783689.911797022
ppo_hourly,Hourly PPO,reinforcement_learning,9000057,3,5426119.016137176,2128115.441468709,3298003.574668467
ppo_hourly,Hourly PPO,reinforcement_learning,9000058,3,5066977.766225313,2052759.8787102632,3014217.8875150494
ppo_hourly,Hourly PPO,reinforcement_learning,9000059,3,5336372.570637066,2368517.4439496975,2967855.126687369
ppo_hourly,Hourly PPO,reinforcement_learning,9000060,3,5643481.383550549,2730085.5891911555,2913395.794359393
ppo_high_level,High-level PPO,reinforcement_learning,9000031,3,2671751.00844537,3088117.723315256,-416366.714869886
ppo_high_level,High-level PPO,reinforcement_learning,9000032,3,1856990.9763663104,2246922.083572707,-389931.1072063967
ppo_high_level,High-level PPO,reinforcement_learning,9000033,3,1977178.623723182,2808943.3452227814,-831764.7214995994
ppo_high_level,High-level PPO,reinforcement_learning,9000034,3,1999438.273840256,2204230.046881304,-204791.7730410481
ppo_high_level,High-level PPO,reinforcement_learning,9000035,3,1858796.5354664105,1835118.653119177,23677.882347233284
ppo_high_level,High-level PPO,reinforcement_learning,9000036,3,2131430.752750947,2856437.4452236663,-725006.692472719
ppo_high_level,High-level PPO,reinforcement_learning,9000037,3,2493221.10136236,2528976.512061367,-35755.410699006636
ppo_high_level,High-level PPO,reinforcement_learning,9000038,3,2470266.6012660717,2943299.018402233,-473032.4171361613
ppo_high_level,High-level PPO,reinforcement_learning,9000039,3,1952070.8414092502,2643753.485066,-691682.6436567499
ppo_high_level,High-level PPO,reinforcement_learning,9000040,3,2355521.2937394595,2654718.876257158,-299197.5825176984
ppo_high_level,High-level PPO,reinforcement_learning,9000041,3,2275393.8269247077,2951265.1991328495,-675871.3722081416
ppo_high_level,High-level PPO,reinforcement_learning,9000042,3,2029918.4453789429,2060234.8639605404,-30316.418581597583
ppo_high_level,High-level PPO,reinforcement_learning,9000043,3,2118005.522833065,2612647.8813048154,-494642.35847175005
ppo_high_level,High-level PPO,reinforcement_learning,9000044,3,2253471.4974858803,2845721.5142642595,-592250.0167783793
ppo_high_level,High-level PPO,reinforcement_learning,9000045,3,2045817.0525390795,2371019.10575172,-325202.0532126403
ppo_high_level,High-level PPO,reinforcement_learning,9000046,3,2226940.654911261,2639068.1340305978,-412127.47911933664
ppo_high_level,High-level PPO,reinforcement_learning,9000047,3,2201852.2750341273,2563481.4476033296,-361629.17256920226
ppo_high_level,High-level PPO,reinforcement_learning,9000048,3,2612764.8156739073,3102200.0320528345,-489435.21637892723
ppo_high_level,High-level PPO,reinforcement_learning,9000049,3,1870019.2529239696,2054674.3352626045,-184655.08233863497
ppo_high_level,High-level PPO,reinforcement_learning,9000050,3,2058598.477741708,2925726.437843871,-867127.9601021627
ppo_high_level,High-level PPO,reinforcement_learning,9000051,3,2212077.978793238,2771903.761121032,-559825.7823277941
ppo_high_level,High-level PPO,reinforcement_learning,9000052,3,2228840.0749141607,2555690.1288931454,-326850.0539789849
ppo_high_level,High-level PPO,reinforcement_learning,9000053,3,1888100.8219917167,2004306.9844839287,-116206.16249221198
ppo_high_level,High-level PPO,reinforcement_learning,9000054,3,2579950.070370414,3099605.200420402,-519655.130049988
ppo_high_level,High-level PPO,reinforcement_learning,9000055,3,2485691.3239893457,3042067.940885448,-556376.616896102
ppo_high_level,High-level PPO,reinforcement_learning,9000056,3,2430175.257156842,2918646.810220665,-488471.5530638229
ppo_high_level,High-level PPO,reinforcement_learning,9000057,3,1984350.0864784517,2128115.441468709,-143765.35499025742
ppo_high_level,High-level PPO,reinforcement_learning,9000058,3,1953313.073284796,2052759.8787102632,-99446.80542546728
ppo_high_level,High-level PPO,reinforcement_learning,9000059,3,2041691.3884749692,2368517.4439496975,-326826.0554747284
ppo_high_level,High-level PPO,reinforcement_learning,9000060,3,2353684.3756461875,2730085.5891911555,-376401.2135449682
masked_double_dqn,Masked Double DQN,reinforcement_learning,9000031,3,2616330.166661339,3088117.723315256,-471787.5566539171
masked_double_dqn,Masked Double DQN,reinforcement_learning,9000032,3,1838827.6186533293,2246922.083572707,-408094.4649193778
masked_double_dqn,Masked Double DQN,reinforcement_learning,9000033,3,2066381.688966244,2808943.3452227814,-742561.6562565373
